Business Name,Address,City,Permit Id,Type,Class,Inspection Date,Inspection Type,Grade,Priority Violation *,
Banner Behavioral Health Hospital,7575 E Earll Dr ,Scottsdale,FD-00919,Hospital Food Service ,Class 5,3/20/19,Routine Inspection,B,0,
My Fathers Retire Ranch,400 N Jefferson St ,Wickenburg,FD-00992,Assisted Living ,Class 5,3/22/19,Routine Inspection,C,2,
Gold Key Racquet Club,12826 N 3rd St ,Phoenix,FD-01061,E & D 10+ Seating ,Class 2,3/20/19,Routine Inspection,A,0,
Mesa Good Shepherd,5848 E University Dr ,Mesa,FD-01085,Nursing Home ,Class 5,3/19/19,Routine Inspection,A,0,
Mimi's Cafe & Bistro,8980 E Shea Blvd ,Scottsdale,FD-01114,E & D 10+ Seating ,Class 4,3/19/19,Routine Inspection,Not Participating,2,
Wagon Wheel Coffee Shop,36457 N Cave Creek Rd ,Cave Creek,FD-01212,E & D 10+ Seating ,Class 3,3/20/19,Routine Inspection,Not Participating,0,
Target Store No t851,7409 W Virginia Ave ,Phoenix,FD-01232,E & D 10+ Seating ,Class 3,3/20/19,Routine Inspection,A,0,
Target Store No t851,7409 W Virginia Ave ,Phoenix,FD-01233,Retail Food Establishment ,Class 2,3/20/19,Routine Inspection,A,0,
Independence High School,6602 N 75th Ave ,Glendale,FD-01368,School Food Service ,Class 3,3/25/19,Routine Inspection,A,0,
Ajo Al's Mexican Cafe,6990 E Shea Blvd ,Scottsdale,FD-01391,E & D 10+ Seating ,Class 4,3/21/19,Routine Inspection,A,0,
Nino's Pizzeria,5800 W Peoria Ave Suite 108,Glendale,FD-01416,E & D 10+ Seating ,Class 3,3/20/19,Routine Inspection,A,0,
AJ's Fine Foods No 63,7141 E Lincoln Dr ,Scottsdale,FD-01437,E & D 0-9 Seating ,Class 4,3/19/19,Routine Inspection,Not Participating,0,
Amf Mcray Lanes Plaza No 428,3825 W Ray Rd ,Chandler,FD-01458,E & D 10+ Seating ,Class 3,3/22/19,Routine Inspection,A,0,
Burger King No 4676,4025 E Bell Rd ,Phoenix,FD-01474,E & D 10+ Seating ,Class 3,3/22/19,Routine Inspection,A,0,
Frys Food Store No 128,744 W Camelback Rd ,Phoenix,FD-01511,Bakery ,Class 2,3/21/19,Routine Inspection,A,0,
Frys Food Store No 128,744 W Camelback Rd ,Phoenix,FD-01512,Retail Food Establishment ,Class 3,3/21/19,Routine Inspection,A,0,
Frys Food Store No 128,744 W Camelback Rd ,Phoenix,FD-01513,Meat Market ,Class 4,3/21/19,Routine Inspection,A,0,
Frys Food Store No 128,744 W Camelback Rd ,Phoenix,FD-01514,E & D 10+ Seating ,Class 4,3/21/19,Routine Inspection,A,0,
Amf Union Hills Lanes No 374,3424 W Union Hills Dr ,Phoenix,FD-01644,E & D 10+ Seating ,Class 3,3/19/19,Routine Inspection,A,0,
Dairy Queen No 13544,6548 E Cave Creek Rd ,Cave Creek,FD-01647,E & D 10+ Seating ,Class 3,3/20/19,Routine Inspection,A,0,
Justine Spitalny School,3201 N 46th Dr ,Phoenix,FD-01676,School Food Service ,Class 3,3/20/19,Routine Inspection,A,0,
Fowler School,6707 W Van Buren St ,Phoenix,FD-01684,School Food Service ,Class 3,3/19/19,Routine Inspection,A,0,
Santa Maria Middle School,7250 W Lower Buckeye Rd ,Phoenix,FD-01720,School Food Service ,Class 3,3/19/19,Routine Inspection,B,1,
Stapley Jr High School,3250 E Hermosa Vista Dr ,Mesa,FD-01760,School Food Service ,Class 3,3/19/19,Verification Visit,A,0,
Gilbert Classical Academy,1016 N Burk St ,Gilbert,FD-01780,School Food Service ,Class 3,3/20/19,Routine Inspection,A,0,
Circle K Store No 8833,6649 W Thomas Rd ,Phoenix,FD-01813,E & D 0-9 Seating ,Class 2,3/19/19,Routine Inspection,Not Participating,1,
Circle K Store No 8833,6649 W Thomas Rd ,Phoenix,FD-01814,Retail Food Establishment ,Class 2,3/19/19,Routine Inspection,Not Participating,0,
Walgreens No 1950,10135 E Via Linda ,Scottsdale,FD-01969,Retail Food Establishment ,Class 2,3/20/19,Routine Inspection,Not Participating,0,
Zedo Ishikawa Elementary School,2635 N 32nd St ,Mesa,FD-02037,School Food Service ,Class 3,3/21/19,Routine Inspection,A,0,
Ramon Mendoza Elementary School,5831 E Mclellan Ave ,Mesa,FD-02038,School Food Service ,Class 3,3/20/19,Verification Visit,A,0,
Falcon Hill Elementary,1645 N Sterling ,Mesa,FD-02048,School Food Service ,Class 3,3/22/19,Routine Inspection,B,1,
Marjorie Entz Elementary School,4132 E Adobe St ,Mesa,FD-02057,School Food Service ,Class 3,3/25/19,Verification Visit,A,0,
Webster Elementary School,202 N Sycamore ,Mesa,FD-02080,School Food Service ,Class 3,3/20/19,Verification Visit,A,0,
Highland Elementary School,3042 E Adobe St ,Mesa,FD-02102,School Food Service ,Class 3,3/25/19,Routine Inspection,A,0,
Hughes Elementary,630 N Hunt Dr ,Mesa,FD-02103,School Food Service ,Class 3,3/21/19,Verification Visit,A,0,
Emerson Elementary School,415 N Westwood ,Mesa,FD-02106,School Food Service ,Class 3,3/25/19,Routine Inspection,A,0,
Circle K Store No 1950,9040 S Central Ave ,Phoenix,FD-02182,E & D 0-9 Seating ,Class 2,3/20/19,Routine Inspection,B,0,
Circle K Store No 1950,9040 S Central Ave ,Phoenix,FD-02183,Retail Food Establishment ,Class 2,3/20/19,Routine Inspection,A,0,
Childtime Child Care,1111 N Horne ,Mesa,FD-02201,Daycare Food Service ,Class 3,3/20/19,Routine Inspection,A,0,
Wickenburg Comm Hospital,520 Rose Ln ,Wickenburg,FD-02287,Hospital Food Service ,Class 5,3/22/19,Routine Inspection,A,0,
American Legion Post No 44,7145 E 2nd St ,Scottsdale,FD-02325,E & D 10+ Seating ,Class 4,3/20/19,Routine Inspection,A,0,
Jack In The Box No 129,4313 W Thomas Rd ,Phoenix,FD-02342,E & D 10+ Seating ,Class 3,3/20/19,Routine Inspection,A,0,
Banner Thunderbird Medical Center,5555 W Thunderbird Rd ,Glendale,FD-02370,Hospital Food Service ,Class 5,3/20/19,Routine Inspection,A,0,
Lincoln Learning Center,303 E Eva St ,Phoenix,FD-02379,Daycare Food Service ,Class 3,3/22/19,Routine Inspection,B,1,
Ajo Al's Mexican Food,9393 N 90th St Suite 122,Scottsdale,FD-02428,E & D 10+ Seating ,Class 4,3/19/19,Routine Inspection,B,1,
Subway No 3478,5932 W Bell Rd Suite 104,Glendale,FD-02625,E & D 10+ Seating ,Class 3,3/25/19,Routine Inspection,Not Participating,0,
Circle K Store No 242,410 W Wickenburg Way ,Wickenburg,FD-02785,Retail Food Establishment ,Class 2,3/25/19,Routine Inspection,A,0,
Circle K Store No 2858,7428 N 51st Ave ,Glendale,FD-02819,Retail Food Establishment ,Class 2,3/19/19,Routine Inspection,Not Participating,0,
Circle K Store No 2858,7428 N 51st Ave ,Glendale,FD-02820,E & D 0-9 Seating ,Class 2,3/19/19,Routine Inspection,Not Participating,0,
Kindercare No 632,6037 E Mcdowell Rd ,Mesa,FD-03034,Daycare Food Service ,Class 3,3/21/19,Routine Inspection,B,1,
Venice Pizza,4645 W Maryland Ave ,Glendale,FD-03076,E & D 10+ Seating ,Class 3,3/21/19,Routine Inspection,A,0,
Frys Food Store No 120,6321 E Greenway Rd ,Scottsdale,FD-03086,Bakery ,Class 2,3/25/19,Routine Inspection,A,0,
Frys Food Store No 120,6321 E Greenway Rd ,Scottsdale,FD-03087,E & D 0-9 Seating ,Class 4,3/25/19,Routine Inspection,A,0,
Frys Food Store No 120,6321 E Greenway Rd ,Scottsdale,FD-03088,Meat Market ,Class 4,3/25/19,Routine Inspection,A,0,
Frys Food Store No 120,6321 E Greenway Rd ,Scottsdale,FD-03089,Retail Food Establishment ,Class 3,3/25/19,Routine Inspection,A,0,
Nello's Pizza,4710 E Warner Rd Suite 10,Phoenix,FD-03099,E & D 10+ Seating ,Class 4,3/22/19,Routine Inspection,B,0,
Walgreens No 3766,34402 N Scottsdale Rd ,Scottsdale,FD-03142,Retail Food Establishment ,Class 2,3/19/19,Routine Inspection,A,0,
Rincon Learning Center,5643 S 7th Ave ,Phoenix,FD-03159,Daycare Food Service ,Class 3,3/20/19,Routine Inspection,A,0,
Mountain Pointe High School,4201 E Knox Rd ,Phoenix,FD-03168,School Food Service ,Class 3,3/20/19,Routine Inspection,C,2,
Desert Mountain Elementary School,22301 S Hawes Rd ,Queen Creek,FD-03237,School Food Service ,Class 2,3/25/19,Verification Visit,A,0,
Restaurant Sinaloa,45 W Broadway Rd ,Mesa,FD-03245,E & D 10+ Seating ,Class 4,3/21/19,Routine Inspection,Not Participating,1,
Westwood High School,945 W 8th St ,Mesa,FD-03320,Food Catering ,Class 5,3/25/19,Routine Inspection,A,0,
Sesame Inn,34482 N Scottsdale Rd ,Scottsdale,FD-03415,E & D 10+ Seating ,Class 4,3/19/19,Routine Inspection,A,0,
Pinos Carniceria,4832 N 27th Ave ,Phoenix,FD-03485,Meat Market ,Class 4,3/19/19,Routine Inspection,A,0,
Pinos Carniceria,4832 N 27th Ave ,Phoenix,FD-03486,Retail Food Establishment ,Class 2,3/19/19,Routine Inspection,A,0,
Humberto's Taco Shop,12125 NW Grand Ave ,El Mirage,FD-03569,E & D 10+ Seating ,Class 4,3/20/19,Routine Inspection,B,0,
Gateway Cc Child Care,108 N 40th St ,Phoenix,FD-03902,Daycare Food Service ,Class 3,3/21/19,Routine Inspection,B,1,
Country Boy's Restaurant,2330 W Camelback Rd ,Phoenix,FD-03976,E & D 10+ Seating ,Class 4,3/21/19,Routine Inspection,A,0,
Chompie's Restaurant & Bakery,1160 E University Dr ,Tempe,FD-04012,E & D 10+ Seating ,Class 4,3/21/19,Routine Inspection,Not Participating,2,
Apache Lake Marina & Resort,Highway 88 Mile Marker 229.5 ,Roosevelt,FD-04029,E & D 10+ Seating ,Class 4,3/20/19,Routine Inspection,Not Participating,1,
Apache Lake Marina & Resort,Highway 88 Mile Marker 229.5 ,Roosevelt,FD-04030,Retail Food Establishment ,Class 2,3/20/19,Routine Inspection,Not Participating,0,
Walgreens No 3912,29660 N Tatum Blvd ,Cave Creek,FD-04132,Retail Food Establishment ,Class 2,3/22/19,Routine Inspection,A,0,
Jojo's Pizza & Family Restaurant,23425 N 39th Dr Suite 110,Phoenix,FD-04216,E & D 10+ Seating ,Class 4,3/19/19,Routine Inspection,A,0,
McDonald's No 1158,2305 W Bethany Home Rd ,Phoenix,FD-04220,E & D 10+ Seating ,Class 3,3/19/19,Routine Inspection,Not Participating,1,
Manuel's Mexican Food Restaurant,8809 E Mountain View Rd ,Scottsdale,FD-04273,E & D 10+ Seating ,Class 4,3/19/19,Routine Inspection,B,1,
Saba's Mediterranean Cuisine,4747 E Bell Rd Suite 5,Phoenix,FD-04305,E & D 10+ Seating ,Class 4,3/22/19,Routine Inspection,A,0,
Huger Mercy Living Center Housd,2345 W Orangewood Ave ,Phoenix,FD-04359,Service Kitchen ,Class 2,3/21/19,Routine Inspection,A,0,
Huger Mercy Living Center Housd,2345 W Orangewood Ave ,Phoenix,FD-04360,Service Kitchen ,Class 2,3/21/19,Routine Inspection,A,0,
Huger Mercy Living Center Housd,2345 W Orangewood Ave ,Phoenix,FD-04361,Service Kitchen ,Class 2,3/21/19,Routine Inspection,A,0,
Huger Mercy Living Center Housd,2345 W Orangewood Ave ,Phoenix,FD-04362,Service Kitchen ,Class 2,3/21/19,Routine Inspection,A,0,
Huger Mercy Living Center Housd,2345 W Orangewood Ave ,Phoenix,FD-04363,Assisted Living ,Class 5,3/21/19,Routine Inspection,A,0,
Frys Food Store No 46,520 E Baseline Rd ,Phoenix,FD-04372,Meat Market ,Class 4,3/21/19,Routine Inspection,A,0,
Frys Food Store No 46,520 E Baseline Rd ,Phoenix,FD-04373,Bakery ,Class 2,3/21/19,Routine Inspection,A,0,
Frys Food Store No 46,520 E Baseline Rd ,Phoenix,FD-04374,Retail Food Establishment ,Class 3,3/21/19,Routine Inspection,A,0,
Frys Food Store No 46,520 E Baseline Rd ,Phoenix,FD-04432,E & D 0-9 Seating ,Class 4,3/21/19,Routine Inspection,A,0,
American Indian College,10020 N 15th Ave ,Phoenix,FD-04435,School Food Service ,Class 4,3/20/19,Routine Inspection,Not Participating,1,
Fry's Food Store No 2,3036 E Thomas Rd ,Phoenix,FD-04450,Bakery ,Class 2,3/21/19,Routine Inspection,A,0,
Fry's Food Store No 2,3036 E Thomas Rd ,Phoenix,FD-04451,Meat Market ,Class 4,3/21/19,Routine Inspection,B,0,
Fry's Food Store No 2,3036 E Thomas Rd ,Phoenix,FD-04452,E & D 10+ Seating ,Class 4,3/21/19,Routine Inspection,A,0,
Fry's Food Store No 2,3036 E Thomas Rd ,Phoenix,FD-04453,Retail Food Establishment ,Class 3,3/21/19,Routine Inspection,A,0,
Skyline High School,845 S Crismon Rd ,Mesa,FD-04492,School Food Service ,Class 4,3/25/19,Verification Visit,A,0,
St Lukes Hospital,525 N 18th St ,Phoenix,FD-04554,Hospital Food Service ,Class 5,3/21/19,Routine Inspection,A,0,
Frys Food Store No 52,855 W Warner Rd ,Gilbert,FD-04569,Bakery ,Class 2,3/21/19,Routine Inspection,A,0,
Frys Food Store No 52,855 W Warner Rd ,Gilbert,FD-04570,Meat Market ,Class 4,3/21/19,Routine Inspection,B,1,
Dignity Health Chandler Regional Medical Center,475 S Dobson Rd ,Chandler,FD-04588,Hospital Food Service ,Class 5,3/22/19,Routine Inspection,Not Participating,1,
Circle K Store No 6285,11339 W Bell Rd ,Sun City,FD-04797,Retail Food Establishment ,Class 2,3/25/19,Routine Inspection,A,0,
Walgreens No 5392,420 S Sossaman Rd ,Mesa,FD-04828,Retail Food Establishment ,Class 2,3/21/19,Routine Inspection,A,0,
Cold Stone Creamery,8215 W Bell Rd Suite 120,Peoria,FD-04888,E & D 10+ Seating ,Class 2,3/20/19,Routine Inspection,A,0,
99 Cent Discount Store,7227 S Central Ave Suite 1105,Phoenix,FD-04997,Retail Food Establishment ,Class 2,3/20/19,Routine Inspection,A,0,
Willowbrook United Methodist Church,19390 N 99th Ave ,Sun City,FD-05146,E & D 0-9 Seating ,Class 2,3/22/19,Routine Inspection,A,0,
Microchip Technology Inc,1200 S 52nd St ,Tempe,FD-05236,E & D 10+ Seating ,Class 4,3/19/19,Routine Inspection,A,0,
Bill Henry's Food Mart,619 W Pima St ,Gila Bend,FD-05318,Retail Food Establishment ,Class 2,3/21/19,Routine Inspection,A,0,
Thee Pitts Again,5558 W Bell Rd ,Glendale,FD-05439,E & D 10+ Seating ,Class 4,3/25/19,Routine Inspection,Not Participating,2,
Morning Glory Cafe/ Quiessence,6106 S 32nd St ,Phoenix,FD-05468,E & D 10+ Seating ,Class 4,3/19/19,Routine Inspection,Not Participating,1,
Bill Henry's Food Mart,619 W Pima St ,Gila Bend,FD-05498,E & D 10+ Seating ,Class 3,3/21/19,Routine Inspection,B,1,
Panda Express 594,20040 N 59th Ave Suite 101,Glendale,FD-05537,E & D 10+ Seating ,Class 3,3/21/19,Routine Inspection,A,0,
99 Cents Only Store No 131,3518 W Peoria Ave ,Phoenix,FD-05549,Retail Food Establishment ,Class 2,3/22/19,Routine Inspection,A,0,
Full Circle Chevron,2755 W Chandler Blvd ,Chandler,FD-05604,Retail Food Establishment ,Class 2,3/19/19,Routine Inspection,A,0,
Safeway No 1663,20901 N Pima Rd ,Scottsdale,FD-05650,Bakery ,Class 2,3/19/19,Verification Visit,A,0,
Safeway No 1663,20901 N Pima Rd ,Scottsdale,FD-05659,E & D 0-9 Seating ,Class 4,3/19/19,Routine Inspection,Not Participating,2,
Safeway No 1663,20901 N Pima Rd ,Scottsdale,FD-05660,Retail Food Establishment ,Class 3,3/19/19,Verification Visit,A,0,
Safeway No 1663,20901 N Pima Rd ,Scottsdale,FD-05661,Meat Market ,Class 4,3/19/19,Verification Visit,A,1,
Pinos Carniceria,4832 N 27th Ave ,Phoenix,FD-05671,E & D 0-9 Seating ,Class 3,3/19/19,Routine Inspection,B,1,
Quiktrip No 438,1733 S Greenfield Rd ,Mesa,FD-05678,Retail Food Establishment ,Class 2,3/19/19,Routine Inspection,B,0,
Quiktrip No 438,1733 S Greenfield Rd ,Mesa,FD-05681,E & D 0-9 Seating ,Class 2,3/19/19,Routine Inspection,B,0,
Subway,20020 N 59th Ave Suite 107,Glendale,FD-05718,E & D 10+ Seating ,Class 3,3/21/19,Routine Inspection,A,0,
Nordstrom,3111 W Chandler Blvd ,Chandler,FD-05822,E & D 10+ Seating ,Class 3,3/22/19,Routine Inspection,Not Participating,0,
Cortez Park Charter School,3535 W Dunlap Ave ,Phoenix,FD-05841,School Food Service ,Class 3,3/25/19,Routine Inspection,A,0,
Sees Candies,3111 W Chandler Blvd Suite 1116,Chandler,FD-05903,Retail Food Establishment ,Class 2,3/21/19,Routine Inspection,A,0,
Auntie Anne's,3111 W Chandler Blvd SP #106,Chandler,FD-05907,E & D 0-9 Seating ,Class 2,3/21/19,Routine Inspection,A,0,
Macy's,3111 W Chandler Blvd ,Chandler,FD-05922,Retail Food Establishment ,Class 2,3/21/19,Routine Inspection,A,0,
Barnes & Noble Booksellers Inc,3111 W Chandler Blvd ,Chandler,FD-05931,E & D 10+ Seating ,Class 2,3/19/19,Routine Inspection,Not Participating,0,
George Smith Jr High School,10100 E Adobe Rd ,Mesa,FD-05939,School Food Service ,Class 4,3/21/19,Verification Visit,A,0,
Caramba Fresh Mexican Grill,2340 W Bell Rd Suite 106,Phoenix,FD-05941,E & D 10+ Seating ,Class 4,3/19/19,Routine Inspection,A,0,
Quiktrip No 468,11309 NW Grand Ave ,Youngtown,FD-05998,E & D 0-9 Seating ,Class 2,3/21/19,Routine Inspection,A,0,
Quiktrip No 468,11309 NW Grand Ave ,Youngtown,FD-05999,Retail Food Establishment ,Class 2,3/21/19,Routine Inspection,A,0,
Pei Wei Fresh Kitchen,1085 W Queen Creek Rd ,Chandler,FD-06102,E & D 10+ Seating ,Class 4,3/19/19,Routine Inspection,Not Participating,2,
George Smith Jr High School,10100 E Adobe Rd ,Mesa,FD-06129,Food Catering ,Class 5,3/21/19,Verification Visit,A,0,
Jj Madisons All American Grill,430 N Power Rd ,Mesa,FD-06133,E & D 10+ Seating ,Class 4,3/22/19,Routine Inspection,B,1,
Lee's Market,420 W Buckeye Rd ,Phoenix,FD-06158,Retail Food Establishment ,Class 2,3/22/19,Routine Inspection,Not Participating,1,
Top Shelf Mexican Food,21910 N 83rd Ave ,Peoria,FD-06168,E & D 10+ Seating ,Class 4,3/20/19,Verification Visit,A,0,
Quiktrip No 426,19815 N 7th St ,Phoenix,FD-06174,E & D 0-9 Seating ,Class 2,3/20/19,Routine Inspection,A,0,
Quiktrip No 426,19815 N 7th St ,Phoenix,FD-06175,Retail Food Establishment ,Class 2,3/20/19,Routine Inspection,A,0,
English Rose Tea Room,201 Easy St Suite 102-103,Carefree,FD-06192,E & D 10+ Seating ,Class 3,3/20/19,Routine Inspection,A,0,
Whataburger No 217,450 W Indian School Rd ,Phoenix,FD-06248,E & D 10+ Seating ,Class 3,3/20/19,Routine Inspection,B,1,
Pan American Elementary Charter School,3001 W Indian School Rd Suite 150,Phoenix,FD-06251,Service Kitchen ,Class 2,3/21/19,Routine Inspection,A,0,
Coffee Rush,1949 W Ray Rd Suite 40,Chandler,FD-06385,E & D 10+ Seating ,Class 2,3/22/19,Routine Inspection,B,1,
American Legion Post No 91,922 N Alma School Rd ,Chandler,FD-06437,E & D 10+ Seating ,Class 2,3/21/19,Routine Inspection,Not Participating,0,
McDonald's No 11064,4830 E Bell Rd ,Scottsdale,FD-06491,E & D 10+ Seating ,Class 3,3/19/19,Routine Inspection,Not Participating,0,
Walgreens No 6063,1825 W Bethany Home Rd ,Phoenix,FD-06549,Retail Food Establishment ,Class 2,3/22/19,Routine Inspection,A,0,
Mesa Regal Cafe,4700 E Main St ,Mesa,FD-06566,E & D 10+ Seating ,Class 4,3/22/19,Verification Visit,A,0,
Chilis Grill & Bar,6648 E Mckellips Rd ,Mesa,FD-06599,E & D 10+ Seating ,Class 4,3/21/19,Routine Inspection,B,1,
Circle K Store No 6285,11339 W Bell Rd ,Sun City,FD-06627,E & D 0-9 Seating ,Class 2,3/25/19,Routine Inspection,A,0,
Jack In The Box No 1110,2440 W Thomas Rd ,Phoenix,FD-06630,E & D 10+ Seating ,Class 3,3/19/19,Routine Inspection,Not Participating,0,
India Sweets & Spices,5104 E Mcdowell Rd ,Phoenix,FD-06724,Retail Food Establishment ,Class 2,3/25/19,Routine Inspection,Not Participating,0,
Frys Food Store No 72,87 E Williams Field Rd ,Gilbert,FD-06755,Bakery ,Class 2,3/22/19,Routine Inspection,A,0,
Frys Food Store No 72,87 E Williams Field Rd ,Gilbert,FD-06757,Meat Market ,Class 4,3/22/19,Routine Inspection,B,1,
Quiktrip No 413,4255 W Union Hills Dr ,Glendale,FD-06768,E & D 0-9 Seating ,Class 2,3/20/19,Routine Inspection,Not Participating,0,
Quiktrip No 413,4255 W Union Hills Dr ,Glendale,FD-06769,Retail Food Establishment ,Class 2,3/20/19,Routine Inspection,Not Participating,0,
Booker T Washington,1522 E Adams St ,Phoenix,FD-06792,Daycare Food Service ,Class 3,3/21/19,Routine Inspection,B,1,
Chart House Restaurant,7255 E Mccormick Pkwy ,Scottsdale,FD-06864,E & D 10+ Seating ,Class 4,3/19/19,Routine Inspection,Not Participating,0,
Albertson's No 4,3130 W Carefree Hwy ,Phoenix,FD-06918,E & D 0-9 Seating ,Class 4,3/19/19,Routine Inspection,Not Participating,0,
Albertson's No 4,3130 W Carefree Hwy ,Phoenix,FD-06919,Meat Market ,Class 4,3/19/19,Routine Inspection,Not Participating,0,
Food City No 123,822 S Alma School Rd ,Mesa,FD-06965,Meat Market ,Class 4,3/19/19,Verification Visit,A,0,
Food City No 123,822 S Alma School Rd ,Mesa,FD-06966,Retail Food Establishment ,Class 3,3/19/19,Verification Visit,A,0,
4 Sons,3150 W Carefree Hwy ,Phoenix,FD-06983,E & D 0-9 Seating ,Class 3,3/20/19,Routine Inspection,Not Participating,0,
4 Sons,3150 W Carefree Hwy ,Phoenix,FD-06984,Retail Food Establishment ,Class 2,3/20/19,Routine Inspection,Not Participating,0,
Garcia's Del Metro,3301 W Peoria Ave ,Phoenix,FD-06989,E & D 10+ Seating ,Class 4,3/20/19,Routine Inspection,A,0,
Skyline High School,845 S Crismon Rd ,Mesa,FD-06993,Food Catering ,Class 5,3/25/19,Routine Inspection,A,0,
Subway No 25725,9014 W Thomas Rd ,Phoenix,FD-07000,E & D 10+ Seating ,Class 3,3/25/19,Routine Inspection,B,1,
Jack In The Box,20209 N 59th Ave ,Glendale,FD-07001,E & D 10+ Seating ,Class 3,3/25/19,Routine Inspection,A,0,
Peoria Sports Complex,16101 N 83rd Ave ,Peoria,FD-07002,E & D 0-9 Seating ,Class 2,3/20/19,Routine Inspection,A,0,
Peoria Sports Complex,16101 N 83rd Ave ,Peoria,FD-07003,E & D 0-9 Seating ,Class 2,3/20/19,Routine Inspection,A,0,
Mesa Regal Rv Resort,4700 E Main St ,Mesa,FD-07022,E & D 10+ Seating ,Class 4,3/22/19,Routine Inspection,A,0,
Eddie's Tavern,12302 N 32nd St ,Phoenix,FD-07024,E & D 10+ Seating ,Class 2,3/25/19,Routine Inspection,A,0,
Safeway Store No 1819,18495 E Queen Creek Rd ,Queen Creek,FD-07092,Bakery ,Class 2,3/19/19,Routine Inspection,Not Participating,0,
H2n Chevron Inc,1143 N Ellsworth Rd ,Mesa,FD-07120,Retail Food Establishment ,Class 2,3/20/19,Routine Inspection,A,0,
H2n Chevron Inc,1143 N Ellsworth Rd ,Mesa,FD-07121,E & D 0-9 Seating ,Class 2,3/20/19,Routine Inspection,A,0,
Wal-Mart Super Center No 3465,5010 N 95th Ave ,Glendale,FD-07127,E & D 0-9 Seating ,Class 4,3/20/19,Routine Inspection,A,0,
Wal-Mart Super Center No 3465,5010 N 95th Ave ,Glendale,FD-07129,Meat Market ,Class 4,3/20/19,Routine Inspection,A,0,
Dairy Queen No 14795,11219 E Via Linda Suite D5,Scottsdale,FD-07151,E & D 10+ Seating ,Class 2,3/20/19,Routine Inspection,B,1,
Vu Terrace Cafe,14815 E Shea Blvd Suite 101,Fountain Hills,FD-07199,E & D 10+ Seating ,Class 4,3/19/19,Routine Inspection,Not Participating,2,
St Lukes Hospital,525 N 18th St ,Phoenix,FD-07297,E & D 10+ Seating ,Class 4,3/21/19,Routine Inspection,B,1,
Food City No 123,822 S Alma School Rd ,Mesa,FD-07307,Bakery ,Class 2,3/19/19,Verification Visit,A,0,
